Grade,Customer,Part_aplication,Qty-Product,Injection(Ton),Resin_plastic,Texture-Product,Cavity.Material,Core.Material,Slide-System,Lift-Core-System,Mold-Design.Type,HOT-RUNNER,Mold/Base_Order-Company,Weight(KG),Price-Rp,Status
3,ICHIKOH,Car,2,220,ABS-2A,NO,HP4M-HH,HP4M,YES,NO,H/R VALVE ,YUDO,BUMHAN(KOREA),1118,499800000,Mahal
4,ICHIKOH,Car,2,550,PC-ABS ,NO,HP4M,HP4M,YES,YES,H/R VALVE ,YUDO,BUMHAN(KOREA),2806,962570000,Mahal
4,ICHIKOH,Car,2,550,PC-ABS ,NO,HP4M,HP4M,YES,NO,H/R VALVE ,YUDO,BUMHAN(KOREA),2798,962570000,Mahal
3,ICHIKOH,Car,4,350,ABS-2A,NO,HP4M,HP4M,NO,NO,H/R VALVE ,YUDO,BUMHAN(KOREA),988,495488000,Mahal
5,TKI,MotorCycle,2,180,PA66,NO,SKD61,SKD61,NO,NO,"3P
PIN",NOTYET,GAYA,710,921200000,Mahal
3,SEKISUI POLYMATECH,Piano,8,50,PC,NO,NAK80,HP4M,NO,NO,2P SUBMARINE,NOTYET,GAYA,128,374654000,Mahal
3,HOCK JAYA,Refrigerator,1,350,GPPS ,NO,HP4M,HP4M ,NO,NO,"2P
H/R",YUDO,BUMHAN(KOREA),1426,434784000,Mahal
3,HOCK JAYA,Refrigerator,1,450,PP,NO,HP4M,HP4M ,YES,YES,"3P
PIN",NOTYET,GAYA,2502,491722000,Murah
3,VST,MotorCycle,4,160,PP,NO,NAK80,NAK80,YES,NO,2P THUNNEL ,NOTYET,GAYA,710,255556000,Murah
3,SEKISUI TECHNO,Car,2,350,HPP-1,NO,HP4M,HP4M,YES,YES,2P SIDE GATE,NOTYET,BUMHAN(KOREA),1700,587552000,Mahal
3,SEKISUI TECHNO,Car,2,130,HPP-1,NO,HP4M,HP4M,NO,YES,2P SIDE GATE,NOTYET,BUMHAN(KOREA),490,261226000,Murah
3,SEKISUI TECHNO,Car,2,220,HPP-1,YES,HP4M,HP4M,YES,NO,2P SIDE GATE,NOTYET,BUMHAN(KOREA),1602,252000000,Murah
3,SEKISUI TECHNO,Car,2,160,HPP-2,YES,HP4M,HP4M,YES,YES,2P SIDE GATE,NOTYET,SURYAMAS,920,180306000,Murah
2,SEKISUI TECHNO,Car,2,80,HPP-1,NO,HP4M,HP4M,YES,YES,2P SIDE GATE,NOTYET,GAYA,384,154000000,Murah
