Grade,Customer,Part_aplication,Qty-Product,Injection(Ton),Resin_plastic,Texture-Product,Cavity.Material,Core.Material,Slide-System,Lift-Core-System,Mold-Design.Type,HOT-RUNNER,Mold/Base_Order-Company,Weight(KG),Price-Rp,Status
2,AUTOPLASTIK,Car,2,80,TPO,NO,P20,S50C,NO,YES,2P SIDE GATE,NOTYET,GAYA,327,186200000,Murah
3,AUTOPLASTIK,Car,2,850,TPO,NO,S55C,S55C,YES,YES,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),8300,1110200000,Murah
3,AUTOPLASTIK,Car,2,650,TPO,NO,S55C,S55C,YES,YES,2P HR VALVE 2P,YUDO,BUMHAN(KOREA),3700,830200000,Mahal
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,GAYA,568,317800000,Mahal
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,GAYA,544,317800000,Mahal
2,YEMI,Speaker,1,50,PP,NO,HP4M ,HP4,NO,NO,"3P
PIN ",NOTYET,SURYAMAS,502,249900000,Mahal
2,YEMI,Speaker,2,125,ABS,YES,HP4M,HP4,NO,NO,3P PIN GATE,NOTYET,GAYA,80,155680000,Murah
2,YEMI,Speaker,1,350,PP,YES,HP4M,HP4,NO,NO,3P PIN GATE,NOTYET,SURYAMAS,526,225652000,Murah
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,NO,NO,2P SIDE,NOTYET,GAYA,475,180600000,Murah
3,EPSON,Printer,1,260,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,606,343000000,Mahal
3,EPSON,Printer,1,450,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,SURYAMAS,1462,453600000,Mahal
2,EPSON,Printer,1,80,ABS,YES,NAK80,NAK80,NO,NO,2P SIDE GATE,NOTYET,GAYA,64,144200000,Mahal
3,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,316,204400000,Mahal
3,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,316,204400000,Mahal
3,EPSON,Printer,1,550,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1634,614600000,Mahal
3,EPSON,Printer,2,120,ABS,YES,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,GAYA,234,165200000,Murah
3,EPSON,Printer,1,850,ABS,YES,NAK80,HP4M,YES,YES,"3P
PIN",NOTYET,BUMHAN(KOREA),2158,911400000,Mahal
3,EPSON,Printer,2,350,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,BUMHAN(KOREA),1182,558600000,Murah
3,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,338,198800000,Murah
4,EPSON,Printer,1,550,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,SURYAMAS,2800,977200000,Mahal
4,EPSON,Printer,1,450,ABS,YES,NAK80,HP4M,YES,YES,2P SIDE,NOTYET,BUMHAN(KOREA),1664,613200000,Murah
3,EPSON,Printer,1,450,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1080,358400000,Murah
3,EPSON,Printer,1,180,ABS,YES,NAK80,HP4M,YES,NO,"3P
PIN",NOTYET,GAYA,446,295400000,Mahal
2,EPSON,Printer,1,80,ABS,YES,NAK80,HP4M,YES,NO,"3P
PIN",NOTYET,GAYA,290,166600000,Mahal
3,EPSON,Printer,1,260,ABS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1176,323400000,Mahal
3,EPSON,Printer,1,260,HIPS,YES,NAK80,HP4M,NO,NO,"3P
PIN",NOTYET,GAYA,1464,389200000,Mahal
2,EPSON,Printer,1,80,HIPS,YES,NAK80,HP4M,NO,NO,2P SIDE,NOTYET,GAYA,296,175000000,Mahal
2,EPSON,Printer,1,180,PP,YES,NAK80,HP4M,NO,NO,2P SIDE,NOTYET,GAYA,536,247800000,Mahal
2,EPSON,Printer,4,180,HIPS,NO,NAK80,HP4M,YES,NO,2P SUBMARINE,NOTYET,GAYA,398,329000000,Mahal
